04PRO
20100205,1.00
20100204,1.05
20100203,1.08
20100202,1.09
20100201,1.10
20100129,1.10
20100128,1.12
20100127,1.09
20100126,1.09
20100125,1.09
20100122,1.07
20100121,1.11
20100120,1.09
20100119,1.10
20100118,1.11
20100115,1.09
20100114,1.08
20100113,1.10
20100112,1.12
20100111,1.08
20100108,1.09
20100107,1.10
20100106,1.11
20100105,1.12
20100104,1.13
20091231,1.10
20091230,1.11
20091229,1.04
20091228,1.06
20091223,1.08
20091222,1.11
20091221,1.14
20091218,1.15
20091217,1.15
20091216,1.17
20091215,1.18
20091214,1.20
20091211,1.19
20091210,1.19
20091209,1.22
20091208,1.27
20091207,1.22
20091204,1.22
20091203,1.24
20091202,1.20
20091201,1.19
20091130,1.21
20091127,1.17
20091126,1.26
20091125,1.20
20091124,1.15
20091123,1.13
20091120,1.12
20091119,1.13
20091118,1.16
20091117,1.17
20091116,1.20
20091113,1.23
20091112,1.15
20091110,1.15
20091109,1.12
20091106,1.15
20091105,1.13
20091104,1.12
20091103,1.14
20091102,1.15
20091030,1.14
20091029,1.12
20091028,1.17
20091027,1.21
20091026,1.20
20091023,1.20
20091022,1.26
20091021,1.25
20091020,1.30
20091019,1.34
20091016,1.41
20091015,1.40
20091014,1.41
20091013,1.45
20091012,1.48
20091009,1.45
20091008,1.45
20091007,1.48
20091006,1.48
20091005,1.52
20091002,1.45
20091001,1.48
20090930,1.53
20090929,1.57
20090928,1.52
20090925,1.53
20090924,1.58
20090923,1.61
20090922,1.54
20090921,1.53
20090918,1.52
20090917,1.52
20090916,1.56
20090915,1.53
20090914,1.52
20090911,1.46
20090910,1.51
20090909,1.53
20090908,1.54
20090907,1.51
20090904,1.50
20090903,1.43
20090902,1.50
20090901,1.70
20090831,1.70
20090828,1.68
20090827,1.69
20090826,1.70
20090825,1.70
20090824,1.74
20090821,1.55
20090820,1.52
20090819,1.47
20090818,1.48
20090817,1.52
20090814,1.52
20090813,1.50
20090812,1.50
20090811,1.54
20090810,1.52
20090807,1.57
20090806,1.54
20090805,1.54
20090804,1.51
20090803,1.48
20090731,1.53
20090730,1.45
20090729,1.43
20090728,1.45
20090727,1.44
20090724,1.44
20090723,1.43
20090722,1.45
20090721,1.45
20090720,1.45
20090717,1.45
20090716,1.46
20090715,1.45
20090714,1.47
20090713,1.41
20090710,1.45
20090709,1.36
20090708,1.38
20090707,1.39
20090706,1.33
20090703,1.33
20090702,1.35
20090701,1.37
20090630,1.38
20090629,1.40
20090626,1.35
20090625,1.36
20090624,1.36
20090623,1.33
20090622,1.39
20090619,1.34
20090618,1.34
20090617,1.39
20090616,1.37
20090615,1.40
20090612,1.42
20090610,1.43
20090609,1.39
20090608,1.44
20090605,1.44
20090604,1.42
20090603,1.42
20090602,1.42
20090601,1.41
20090529,1.39
20090528,1.40
20090527,1.37
20090526,1.40
20090525,1.39
20090522,1.41
20090521,1.45
20090520,1.45
20090519,1.45
20090518,1.43
20090515,1.43
20090514,1.47
20090513,1.55
20090512,1.53
20090511,1.61
20090508,1.45
20090507,1.46
20090506,1.47
20090505,1.50
20090504,1.49
20090430,1.44
20090429,1.41
20090428,1.42
20090427,1.44
20090424,1.51
20090423,1.47
20090422,1.43
20090421,1.39
20090420,1.47
20090417,1.63
20090416,1.61
20090415,1.61
20090414,1.60
20090409,1.65
20090408,1.45
20090407,1.44
20090406,1.44
20090403,1.43
20090402,1.43
20090401,1.40
20090331,1.36
20090330,1.39
20090327,1.48
20090326,1.43
20090325,1.33
20090324,1.40
20090323,1.34
20090320,1.32
20090319,1.29
20090318,1.31
20090317,1.29
20090316,1.34
20090313,1.39
20090312,1.32
20090311,1.37
20090310,1.38
20090309,1.49
20090306,1.19
20090305,1.24
20090304,1.30
20090303,1.26
20090302,1.27
20090227,1.25
20090226,1.27
20090225,1.30
20090224,1.22
20090223,1.25
20090220,1.27
20090219,1.24
20090218,1.23
20090217,1.35
20090216,1.43
20090213,1.43
20090212,1.41
20090211,1.44
20090210,1.49
20090209,1.54
08OCTAVA
20100416,2.44
20100415,2.45
20100414,2.40
20100413,2.38
20100412,2.34
20100409,2.39
20100408,2.40
20100407,2.41
20100406,2.38
20100401,2.41
20100331,2.38
20100330,2.38
20100329,2.43
20100326,2.40
20100325,2.38
20100324,2.40
20100323,2.34
20100322,2.40
20100319,2.30
20100318,2.49
20100317,2.31
20100316,2.33
20100315,2.27
20100312,2.28
20100311,2.32
20100310,2.25
20100309,2.30
20100308,2.31
20100305,2.28
20100304,2.28
20100303,2.26
20100302,2.21
20100301,2.20
20100226,2.27
20100225,2.25
20100224,2.23
20100223,2.24
20100222,2.22
20100219,2.21
20100218,2.26
20100217,2.26
20100216,2.23
20100215,2.27
20100212,2.29
20100211,2.22
20100210,2.22
20100209,2.25
20100208,2.21
20100205,2.30
20100204,2.32
20100203,2.33
20100202,2.35
20100201,2.29
20100129,2.38
20100128,2.40
20100127,2.39
20100126,2.45
20100125,2.46
20100122,2.47
20100121,2.49
20100120,2.50
20100119,2.48
20100118,2.49
20100115,2.49
20100114,2.54
20100113,2.49
20100112,2.53
20100111,2.52
20100108,2.52
20100107,2.51
20100106,2.52
20100105,2.55
20100104,2.42
20091231,2.48
20091230,2.50
20091229,2.44
20091228,2.52
20091223,2.52
20091222,2.50
20091221,2.51
20091218,2.52
20091217,2.55
20091216,2.55
20091215,2.64
20091214,2.50
20091211,2.55
20091210,2.55
20091209,2.58
20091208,2.60
20091207,2.63
20091204,2.67
20091203,2.68
20091202,2.62
20091201,2.53
20091130,2.52
20091127,2.40
20091126,2.56
20091125,2.52
20091124,2.52
20091123,2.53
20091120,2.53
20091119,2.59
20091118,2.62
20091117,2.68
20091116,2.49
20091113,2.51
20091112,2.53
20091110,2.46
20091109,2.40
20091106,2.41
20091105,2.41
20091104,2.40
20091103,2.37
20091102,2.29
20091030,2.40
20091029,2.42
20091028,2.41
20091027,2.48
20091026,2.48
20091023,2.48
20091022,2.50
20091021,2.46
20091020,2.49
20091019,2.51
20091016,2.49
20091015,2.53
20091014,2.47
20091013,2.53
20091012,2.53
20091009,2.47
20091008,2.49
20091007,2.52
20091006,2.43
20091005,2.43
20091002,2.40
20091001,2.42
20090930,2.42
20090929,2.45
20090928,2.45
20090925,2.47
20090924,2.49
20090923,2.49
20090922,2.48
20090921,2.53
20090918,2.48
20090917,2.49
20090916,2.56
20090915,2.54
20090914,2.55
20090911,2.55
20090910,2.58
20090909,2.56
20090908,2.68
20090907,2.56
20090904,2.35
20090903,2.27
20090902,2.35
20090901,2.35
20090831,2.20
20090828,2.15
20090827,2.14
20090826,2.10
20090825,2.01
20090824,2.03
20090821,2.00
20090820,1.96
20090819,1.97
20090818,2.00
20090817,2.07
20090814,2.03
20090813,2.06
20090812,2.02
